Tier,Technology,Architecture,Value
S4:7,.NET,MSx3,0.22531
S4:7,.NET,MSx3,0.22542
S4:7,.NET,MSx3,0.2267
S4:7,.NET,MSx3,0.23154
S4:7,.NET,MSx3,0.23475
S4:7,.NET,MSx3,0.23492
S4:7,.NET,MSx3,0.23459
S4:7,.NET,MSx3,0.2348
S4:7,.NET,MSx3,0.23496
S4:7,.NET,MSx3,0.23479
S4:7,.NET,MSx3,0.23484
S4:7,.NET,MSx3,0.23512
S4:7,.NET,MSx3,0.23491
S4:7,.NET,MSx3,0.23509
S4:7,.NET,MSx3,0.23507
S4:7,.NET,MSx3,0.23506
S4:7,.NET,MSx3,0.23477
S4:7,.NET,MSx3,0.23472
S4:7,.NET,MSx3,0.23488
B/S1:1.75,.NET,MSx6,0.11714
B/S1:1.75,.NET,MSx6,0.11762
B/S1:1.75,.NET,MSx6,0.11769
B/S1:1.75,.NET,MSx6,0.11749
B/S1:1.75,.NET,MSx6,0.11819
B/S1:1.75,.NET,MSx6,0.11838
B/S1:1.75,.NET,MSx6,0.11842
B/S1:1.75,.NET,MSx6,0.11854
B/S1:1.75,.NET,MSx6,0.11798
B/S1:1.75,.NET,MSx6,0.11814
B/S1:1.75,.NET,MSx6,0.1176
B/S1:1.75,.NET,MSx6,0.11736
B/S1:1.75,.NET,MSx6,0.1174
B/S1:1.75,.NET,MSx6,0.1176
B/S1:1.75,.NET,MSx6,0.11743
B/S1:1.75,.NET,MSx6,0.11729
B/S1:1.75,.NET,MSx6,0.11764
B/S1:1.75,.NET,MSx6,0.11785
B/S1:1.75,.NET,MSx6,0.11802
B/S1:1.75,.NET,MSx6,0.11805
B/S1:1.75,Java,MSx6,0.14338
B/S1:1.75,Java,MSx6,0.14346
B/S1:1.75,Java,MSx6,0.14368
B/S1:1.75,Java,MSx6,0.1437
B/S1:1.75,Java,MSx6,0.14418
B/S1:1.75,Java,MSx6,0.14458
B/S1:1.75,Java,MSx6,0.14458
B/S1:1.75,Java,MSx6,0.14455
B/S1:1.75,Java,MSx6,0.14449
B/S1:1.75,Java,MSx6,0.14401
B/S1:1.75,Java,MSx6,0.14338
B/S1:1.75,Java,MSx6,0.1427
B/S1:1.75,Java,MSx6,0.14208
B/S1:1.75,Java,MSx6,0.14312
B/S1:1.75,Java,MSx6,0.14234
B/S1:1.75,Java,MSx6,0.14296
B/S1:1.75,Java,MSx6,0.14279
B/S1:1.75,Java,MSx6,0.14335
B/S1:1.75,Java,MSx6,0.14399
B/S1:1.75,Java,MSx6,0.14394
S2:3.5,Java,MSx6,0.26438
S2:3.5,Java,MSx6,0.26428
S2:3.5,Java,MSx6,0.26427
S2:3.5,Java,MSx6,0.26465
S2:3.5,Java,MSx6,0.26484
S2:3.5,Java,MSx6,0.26484
S2:3.5,Java,MSx6,0.26514
S2:3.5,Java,MSx6,0.26507
