Tier,Technology,Architecture,Value
B/S1:1.75,.NET,MSx3,3.62558
B/S1:1.75,.NET,MSx3,3.62551
B/S1:1.75,.NET,MSx3,3.62378
B/S1:1.75,.NET,MSx3,3.62286
B/S1:1.75,.NET,MSx3,3.62316
B/S1:1.75,.NET,MSx3,3.62308
B/S1:1.75,.NET,MSx3,3.62304
B/S1:1.75,.NET,MSx3,3.62297
B/S1:1.75,.NET,MSx3,3.62277
B/S1:1.75,.NET,MSx3,3.62273
B/S1:1.75,.NET,MSx3,3.62264
B/S1:1.75,.NET,MSx3,3.62255
B/S1:1.75,.NET,MSx3,3.62245
B/S1:1.75,.NET,MSx3,3.6224
B/S1:1.75,.NET,MSx3,3.62216
B/S1:1.75,.NET,MSx3,3.62201
B/S1:1.75,.NET,MSx3,3.62188
B/S1:1.75,.NET,MSx3,3.62178
B/S1:1.75,.NET,MSx3,3.62173
B/S1:1.75,Java,MSx3,3.26682
B/S1:1.75,Java,MSx3,3.26871
B/S1:1.75,Java,MSx3,3.26906
B/S1:1.75,Java,MSx3,3.26908
B/S1:1.75,Java,MSx3,3.26913
B/S1:1.75,Java,MSx3,3.26948
B/S1:1.75,Java,MSx3,3.26942
B/S1:1.75,Java,MSx3,3.26965
B/S1:1.75,Java,MSx3,3.26966
B/S1:1.75,Java,MSx3,3.26988
B/S1:1.75,Java,MSx3,3.26983
B/S1:1.75,Java,MSx3,3.26982
B/S1:1.75,Java,MSx3,3.26981
B/S1:1.75,Java,MSx3,3.27034
B/S1:1.75,Java,MSx3,3.27083
B/S1:1.75,Java,MSx3,3.27146
B/S1:1.75,Java,MSx3,3.27147
B/S1:1.75,Java,MSx3,3.27148
B/S1:1.75,Java,MSx3,3.27181
B/S1:1.75,Java,MSx3,3.27169
S2:3.5,Java,MSx3,3.77353
S2:3.5,Java,MSx3,3.77586
S2:3.5,Java,MSx3,3.77585
S2:3.5,Java,MSx3,3.77589
S2:3.5,Java,MSx3,3.7742
S2:3.5,Java,MSx3,3.77428
S2:3.5,Java,MSx3,3.7743
S2:3.5,Java,MSx3,3.7743
S2:3.5,Java,MSx3,3.77433
S2:3.5,Java,MSx3,3.77427
S2:3.5,Java,MSx3,3.77428
S2:3.5,Java,MSx3,3.77433
S2:3.5,Java,MSx3,3.7744
S2:3.5,Java,MSx3,3.77447
S2:3.5,Java,MSx3,3.77447
S2:3.5,Java,MSx3,3.7745
S2:3.5,Java,MSx3,3.77455
S2:3.5,Java,MSx3,3.77628
S2:3.5,Java,MSx3,3.77628
S2:3.5,Java,MSx3,3.77626
S4:7,Java,MSx3,3.81332
S4:7,Java,MSx3,3.81561
S4:7,Java,MSx3,3.81563
S4:7,Java,MSx3,3.81564
S4:7,Java,MSx3,3.81564
S4:7,Java,MSx3,3.81561
S4:7,Java,MSx3,3.81569
S4:7,Java,MSx3,3.81572
S4:7,Java,MSx3,3.81577
S4:7,Java,MSx3,3.81577
S4:7,Java,MSx3,3.81575
S4:7,Java,MSx3,3.8158
S4:7,Java,MSx3,3.81575
S4:7,Java,MSx3,3.81393
S4:7,Java,MSx3,3.81388
S4:7,Java,MSx3,3.81382
S4:7,Java,MSx3,3.81371
S4:7,Java,MSx3,3.81545
S4:7,Java,MSx3,3.81535
S4:7,Java,MSx3,3.81525
S2:3.5,.NET,MSx3,3.82891
S2:3.5,.NET,MSx3,3.83107
S2:3.5,.NET,MSx3,3.82926
S2:3.5,.NET,MSx3,3.82907
S2:3.5,.NET,MSx3,3.8291
S2:3.5,.NET,MSx3,3.82906
S2:3.5,.NET,MSx3,3.82885
S2:3.5,.NET,MSx3,3.82884
S2:3.5,.NET,MSx3,3.82881
S2:3.5,.NET,MSx3,3.82885
S2:3.5,.NET,MSx3,3.82884
S2:3.5,.NET,MSx3,3.82885
S2:3.5,.NET,MSx3,3.82878
S2:3.5,.NET,MSx3,3.8274
S2:3.5,.NET,MSx3,3.8269
S2:3.5,.NET,MSx3,3.82684
S2:3.5,.NET,MSx3,3.82512
S2:3.5,.NET,MSx3,3.82689
S2:3.5,.NET,MSx3,3.82689
S2:3.5,.NET,MSx3,3.8269
S4:7,.NET,MSx3,3.89038
S4:7,.NET,MSx3,3.89273
S4:7,.NET,MSx3,3.89281
S4:7,.NET,MSx3,3.89287
S4:7,.NET,MSx3,3.8929
S4:7,.NET,MSx3,3.89291
S4:7,.NET,MSx3,3.89288
S4:7,.NET,MSx3,3.89108
S4:7,.NET,MSx3,3.89114
S4:7,.NET,MSx3,3.89111
S4:7,.NET,MSx3,3.89111
S4:7,.NET,MSx3,3.89107
S4:7,.NET,MSx3,3.89102
S4:7,.NET,MSx3,3.89096
S4:7,.NET,MSx3,3.89088
S4:7,.NET,MSx3,3.89087
S4:7,.NET,MSx3,3.89085
S4:7,.NET,MSx3,3.8926
S4:7,.NET,MSx3,3.89257
S4:7,.NET,MSx3,3.89255
B/S1:1.75,.NET,MSx6,3.62796
B/S1:1.75,.NET,MSx6,3.62992
B/S1:1.75,.NET,MSx6,3.62982
B/S1:1.75,.NET,MSx6,3.62982
B/S1:1.75,.NET,MSx6,3.62979
B/S1:1.75,.NET,MSx6,3.62975
B/S1:1.75,.NET,MSx6,3.62969
B/S1:1.75,.NET,MSx6,3.62889
B/S1:1.75,.NET,MSx6,3.6288
B/S1:1.75,.NET,MSx6,3.62878
B/S1:1.75,.NET,MSx6,3.62783
B/S1:1.75,.NET,MSx6,3.62774
B/S1:1.75,.NET,MSx6,3.62768
B/S1:1.75,.NET,MSx6,3.62762
B/S1:1.75,.NET,MSx6,3.62757
B/S1:1.75,.NET,MSx6,3.62742
B/S1:1.75,.NET,MSx6,3.629
B/S1:1.75,.NET,MSx6,3.62895
B/S1:1.75,.NET,MSx6,3.62847
B/S1:1.75,.NET,MSx6,3.62828
B/S1:1.75,Java,MSx6,3.32057
B/S1:1.75,Java,MSx6,3.31047
B/S1:1.75,Java,MSx6,3.31876
B/S1:1.75,Java,MSx6,3.31011
B/S1:1.75,Java,MSx6,3.3274
B/S1:1.75,Java,MSx6,3.32207
B/S1:1.75,Java,MSx6,3.31031
B/S1:1.75,Java,MSx6,3.309673
B/S1:1.75,Java,MSx6,3.30713
B/S1:1.75,Java,MSx6,3.32042
B/S1:1.75,Java,MSx6,3.32709
B/S1:1.75,Java,MSx6,3.3308
B/S1:1.75,Java,MSx6,3.33706
B/S1:1.75,Java,MSx6,3.32297
B/S1:1.75,Java,MSx6,3.32529
B/S1:1.75,Java,MSx6,3.31659
B/S1:1.75,Java,MSx6,3.316518
B/S1:1.75,Java,MSx6,3.303447
B/S1:1.75,Java,MSx6,3.30374
B/S1:1.75,Java,MSx6,3.30105
S2:3.5,Java,MSx6,3.73871
S2:3.5,Java,MSx6,3.7413
S2:3.5,Java,MSx6,3.74128
S2:3.5,Java,MSx6,3.74127
S2:3.5,Java,MSx6,3.74137
S2:3.5,Java,MSx6,3.74151
S2:3.5,Java,MSx6,3.74155
S2:3.5,Java,MSx6,3.74016
S2:3.5,Java,MSx6,3.74039
S2:3.5,Java,MSx6,3.74035
S2:3.5,Java,MSx6,3.74081
S2:3.5,Java,MSx6,3.74057
S2:3.5,Java,MSx6,3.74057
S2:3.5,Java,MSx6,3.74065
S2:3.5,Java,MSx6,3.74065
S2:3.5,Java,MSx6,3.74049
S2:3.5,Java,MSx6,3.74233
S2:3.5,Java,MSx6,3.74228
S2:3.5,Java,MSx6,3.74225
S2:3.5,Java,MSx6,3.74225
S4:7,Java,MSx6,3.80858
S4:7,Java,MSx6,3.81123
S4:7,Java,MSx6,3.81144
S4:7,Java,MSx6,3.81145
S4:7,Java,MSx6,3.81015
